Orgineel,Synoniem,Dialect
Schoen,Wandelschoen,-2
Schoendoos,Schoenendoos,0
Schoenlepel,Schoentrekker,0
Schoensmeer,Blienk,1
Schoensmeer,Blink,0
Schoensmeer,Schoenblink,0
Schoensmeer,Schoencrème,0
Schoensmeer,Schoenpoets,0
Schoensmeer,Schoenschmink,0
Schroef,Bankvijs,-2
Schroef,Scheepsschroef,-2
Schroef,Vijs,0
Schuurpapier,Slispapier,1
Servet,Dekservet,-2
Servet,Serviette,1
Servet,Tafeldoek,0
Servet,Vingerdoek,0
Servies,Borden,-2
Servies,Dekschaal,-2
Servies,Eetservies,-2
Servies,Eierdopje,-2
Servies,Glasservies,-2
Servies,Kom,-2
Servies,Kopje,-2
Servies,Ontbijtservies,-2
Servies,Sauskom,-2
Servies,schotel,-2
Servies,Soepterrine,-2
Servies,Tafelservies,-2
Servies,Tafelvaatwerk,0
Servies,Theepot,-2
Servies,Theeservies,-2
Servies,Wegwerpservies,-2
Shampoo,Haarwasmiddel,0
Shampoo,Haarzeep,0
Sigaret,Cigarette,1
Sigaret,Cout,1
Sigaret,Saf,1
Sigarettenpeuk,Peuk,0
Sigarettenpeuk,Sigarettenstoemp,0
Silicoon,Silicon,0
Silicoon,Silicone,0
Sinaasappel,Appelsien,1
Sinaasappel,Ginappel,1
Sinaasappel,Seenappel,1
Skateboard,Schaatsplank,0
Skeeler,Lijnrolschaats,0
Skeeler,Straatschaats,0
Skeeler,Wielschaats,0
Slaapzak,Mafzak,1
Slaapzak,Slapzak,1
Smartphone,Pienterfoon,0
Snoeiafval,Snoeisel,0
Snoep,Snoepgoed,0
Snoep,Spekke,1
Snoep,Spekken,1
Soda,Baksoda,-2
Soda,Loogzout,0
Soda,Natriumcarbonaat,0
