0,1
Kinderboek (bruikbaar),Kringwinkel of recyclagepark (container Kringwinkel: kleine herbruikbare goederen --> Let wel: deze container is niet op elk recyclagepark aanwezig)
Kist (hout/kunststof),Recyclagepark (hout) / (harde plastics)
Klasseermap,Restafvalzak
Kleefpapier,Restafvalzak
Kleerhangers (ijzer),Recyclagepark (metaal)
Kleerhangers (plastic),Recyclagepark (harde plastics)
Kleurpotloden,Restafvalzak
Kleurstoffen,Recyclagepark (KGA)
Klok,Recyclagepark (elektro)
Knoopcellen,Recyclagepark (KGA)
Knuffel (herbruikbaar),"Kring(loop)winkel, textielcontainer of recyclagepark: textielcontainer of container Kringwinkel(voor kleine herbruikbare goederen --> let wel: deze container is niet op elk recyclagepark aanwezig)"
Knutselmateriaal (bruikbaar),Kringwinkel of recyclagepark (container Kringwinkel: kleine herbruikbare goederen --> Let wel: deze container is niet op elk recyclagepark aanwezig)
Koekjesdoos (karton/metaal/kunststof),Papier en karton / PMD-zak / restafvalzak
Koelboxelement,Recyclagepark (KGA)
Koelkast,Recyclagepark (elektro)
Koelkast (bruikbaar),Kringwinkel
Koelvloeistof,Recyclagepark (KGA)
Koffieapparaat,Recyclagepark (elektro)
Koffieapparaat (bruikbaar),Kringwinkel
Koffiefilter (papier),Thuiscomposteren of restafvalzak
Koffiefilter (plastic),Restafvalzak
Koffiegruis,Thuiscomposteren of restafvalzak
Koffiemolen,Recyclagepark (elektro)
Kogels,Politie bellen
Kokosnoot,Thuiscomposteren of tuinafvalbak of recyclagepark (tuinafval)
Kolengruis,Restafvalzak (Let wel: een restafvalzak mag max. 15 kg wegen)
Kompressen,Restafvalzak
Kookplaat,Recyclagepark (elektro)
Kookpotten (bruikbaar),Kringwinkel
Kookpotten (onbruikbaar),Recyclagepark (metaal)
Koper,Recyclagepark (metaal)
Koperpoets,Recyclagepark (KGA)
Kraan (sanitair),Recyclagepark (metaal)
Kranten,Papier en karton
Kreeft,Restafvalzak
Kringlooppapier,Papier en karton
Kristal,Recyclagepark (niet recycleerbaar)
Kruidenproducten,Restafvalzak
Kruimeldief,Recyclagepark (elektro)
Krulset,Recyclagepark (elektro)
Kunstplant,Restafvalzak
Kunststof,Restafvalzak
"Kunststof fles (pet, pe, pvc)",PMD-zak
Kurk,"- Zuivere kurkdoppen van wijn, schuimwijn of bier, onderleggers en andere voorwerpen van zuivere kurk: recyclagepark (inzamelrecipiÃ«nt onder de luifel, groene groep) - Wand- en vloerbekleding: brandbaar afval - Synthetische kurkdoppen (glad oppervlak, koud aanvoelen): restafvalzak"
Kussensloop,Recyclagepark (textiel) Let wel: bevuilde of versleten textiel in restafvalzak
Kwastreiniger,Recyclagepark (KGA)
Kwik,Recyclagepark (KGA)
Kwikbatterijen,Recyclagepark (KGA)
Kwikthermometer,Recyclagepark (KGA)
LP (vinylplaat),Restafvalzak
Laarzen (bruikbaar),Kringwinkel
Ladyshave,Recyclagepark (elektro)
Laken (beddengoed),Bevuild: restafvalzak 	Versleten:Â textielcontainer 	Herbruikbaar: textielcontainer of de Kring(loop)winkel Meer info: www.mirom.be/textiel
Lakken (verf),Recyclagepark (KGA)
Lampekap,Recyclagepark (perscontainer brandbaar afval)
Lampen (TL- lampen),Recyclagepark (KGA)
Lampolie,Recyclagepark (KGA)
Lavabo,RecyclageparkÂ (niet recycleerbaar)
Lavalamp,RecyclageparkÂ (KGA)
Lederwaren,RecyclageparkÂ (textiel) Let wel: bevuilde of versleten textiel in Restafvalzak
Leien (asbest),RecyclageparkÂ (asbest) 	âVerplicht verpakt aan te leveren vanaf 2020. Zie voor meer info:Â www.mirom.be/asbest
Leien (natuur) indien niet asbesthoudend,RecyclageparkÂ (steenpuin) meer info over asbest: âÂ www.mirom.be/asbest
Lepel (hout/metaal),RecyclageparkÂ (hout) / (metaal)
Lijmen,RecyclageparkÂ (KGA)
Lijnolie,RecyclageparkÂ (KGA)
Linoleum,Restafvalzak of indien te groot:RecyclageparkÂ (perscontainer brandbaar grofvuil)
Lippenstift,Restafvalzak
Lood,RecyclageparkÂ (metaal)
Loodglas,RecyclageparkÂ (niet recycleerbaar)
Loof,Thuiscomposteren of tuinafvalbak of RecyclageparkÂ (tuinafval)
Luchtbevochtiger,RecyclageparkÂ (elektro)
Luchtverfrisser (lege spuitbus),PMD-zak
Lucifer,Restafvalzak
Luidsprekers,RecyclageparkÂ (elektro)
Luiers,Restafvalzak
MDF,RecyclageparkÂ Â (hout)
Maandverband,Restafvalzak
Magneetbord,RecyclageparkÂ (metaal)
Magneten,RecyclageparkÂ (metaal)
Make-up,RecyclageparkÂ (KGA)
Margarinevlootje,PMD-zak
Marmer (gebroken),RecyclageparkÂ (steenpuin)
Mascara,Restafvalzak
Massage-apparaat,RecyclageparkÂ (elektro)
Matras,RecyclageparkÂ (perscontainer brandbaar afval)
Mayonaise,Restafvalzak
Mazout,RecyclageparkÂ (KGA)
Medicamenten,Apotheker
Medicijnen,Apotheker
Melkfles (lege plastic fles),PMD-zak
Melkkarton (leeg),PMD-zak
Mes,RecyclageparkÂ (metaal)
Messenslijper,RecyclageparkÂ Â (elektro)
Meststof,Thuiscomposteren (enkel van planteneters) of Restafvalzak (let op:max 15 kg)
Metaalpoets,Restafvalzak (KGA)
